Filter SHA results: L, M: 01, 01
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,-27.6274,-18.1871,-0.616081,8.93347,-1.02292,-32.1489
2010-01-07,06:00,-26.731,-8.4132,14.2236,3.37552,-6.55325,-17.8839
2010-01-08,21:00,-24.7365,-9.41334,12.9934,-0.665155,-6.67809,-23.4819
2010-02-09,03:00,-28.135,-5.52007,7.52361,2.43825,-10.4314,-28.6812
2010-02-20,18:00,-25.8233,-9.35494,4.88186,1.94429,-8.07438,-24.0976
2010-02-27,03:00,-30.6103,-7.44848,10.5118,-0.857924,-0.919715,-27.3833
2010-02-28,09:00,-26.1396,-9.73495,6.73311,5.22943,-5.4681,-26.611
2010-03-09,09:00,-32.7022,-8.70649,12.6662,3.60005,-6.04381,-27.1931
2010-03-18,18:00,-24.9785,-7.67077,2.19062,5.5095,-3.88304,-26.0127
2010-03-22,03:00,-26.894,-7.76633,5.69645,4.40962,-4.85053,-25.3471
2010-03-24,00:00,-27.0898,-15.1772,8.26756,16.5655,2.5774,-21.1426
2010-03-27,15:00,-24.3129,-6.29085,7.45735,7.40759,2.17316,-20.9714
2010-04-18,18:00,-23.874,-9.78149,10.1737,0.707599,-4.65909,-24.5915
2010-04-25,21:00,-21.0468,-9.7543,17.435,-3.57219,-2.95669,-14.8303
2010-04-27,18:00,-21.7142,-9.51253,17.0558,-0.52963,-1.52091,-10.4015
2010-05-14,03:00,-32.0715,-9.64627,8.64226,17.2044,3.48057,-22.7254
2010-05-16,03:00,-29.8625,-6.54209,11.3885,12.638,-5.60564,-22.2014
2010-05-23,00:00,-21.8108,-12.4782,30.9637,1.09978,-9.05155,-26.5852
2010-05-24,09:00,-21.0096,-6.65011,23.5417,3.77667,-9.30148,-17.702
2010-05-27,15:00,-22.006,-2.83327,5.74478,4.99526,-13.3201,-6.88783
2010-06-12,18:00,-28.1621,-2.87107,12.3947,12.4323,-9.69955,-29.7166
2010-06-20,09:00,-32.1377,-0.61101,8.71236,12.7464,-5.94359,-24.2873
2010-06-21,21:00,-33.287,-2.56183,5.93639,11.6094,-4.44285,-26.2719
2010-07-07,00:00,-25.1056,5.97633,11.1286,8.31118,-8.49049,-20.1593
2010-07-11,00:00,-31.9756,2.50058,8.79994,9.4277,-13.4514,-25.8714
2010-07-17,03:00,-29.9265,-2.7586,15.8579,11.5315,0.348381,-20.3169
2010-07-18,03:00,-27.1059,-1.69408,12.9184,9.41255,-3.25225,-21.2416
2010-07-19,03:00,-22.4702,-4.04104,16.4858,7.9255,-0.787534,-21.4129
2010-08-20,00:00,-25.379,-0.203496,10.0226,11.0178,-11.5313,-28.9825
2010-08-30,03:00,-26.687,-1.96233,12.1711,7.98844,-5.62747,-18.4322
2010-08-31,06:00,-26.1961,-4.53039,16.1483,7.91373,-5.54608,-21.975
2010-09-01,00:00,-26.1405,-3.49936,10.6116,8.95046,-6.15772,-24.2736
2010-09-04,09:00,-25.8826,-2.35687,13.1126,9.40322,-2.77219,-25.1871
2010-09-05,09:00,-26.6381,-1.49365,12.3429,10.4416,-5.33382,-24.8102
2010-09-11,18:00,-28.0141,0.378171,14.4334,13.5354,-5.13941,-20.7539
2010-09-12,21:00,-27.6011,-0.24545,15.0859,9.99308,-5.58137,-21.8713
2010-09-22,18:00,-28.0273,-5.39031,13.0145,12.5883,-4.17413,-25.2216
2010-10-02,06:00,-25.6689,-4.62966,12.197,8.9457,3.602,-23.8527
2010-10-04,00:00,-25.2293,-4.02079,13.9407,9.63992,1.76106,-25.0236
2010-10-14,21:00,-26.7945,-4.12592,8.48671,10.8681,-7.99624,-29.2947
2010-11-01,00:00,-28.9174,-0.365285,19.5634,8.08282,0.204472,-29.3668
2010-11-01,18:00,-30.5186,-1.30733,14.1431,8.39575,0.290204,-29.9807
2010-11-07,03:00,-31.5818,1.7533,23.3221,12.8532,-2.36432,-22.6589
2010-11-10,03:00,-29.7107,1.37445,9.90759,10.5173,-1.52583,-21.7794
2010-11-19,18:00,-27.0214,-3.29359,19.1779,9.03244,-7.34533,-23.7185
2010-12-02,18:00,-28.4961,7.61508,12.0805,9.19277,-15.8499,-29.5845
2010-12-03,18:00,-29.2096,7.53296,16.2336,8.69956,-10.1391,-27.1691
2010-12-05,09:00,-29.5912,5.97454,11.7177,8.91181,-8.52142,-27.0425
2010-12-09,21:00,-19.889,-0.988822,10.9722,23.7168,18.1509,-20.7593
2010-12-11,12:00,-20.5785,-3.07328,12.3979,26.0964,13.1396,-21.5455
2010-12-22,21:00,-25.1949,-4.10806,10.7776,15.6994,-7.71858,-18.4287
2011-01-05,09:00,-24.2733,6.82609,8.84475,2.26916,-18.451,-23.2086
2011-01-24,03:00,-29.872,-8.82505,16.5557,10.7917,1.53761,-36.5889
2011-01-30,15:00,-34.3833,9.43626,23.4259,12.0354,-19.0056,-27.4261
2011-02-03,15:00,-28.2328,-3.56737,12.1947,20.3454,-6.16955,-30.4139
2011-02-13,21:00,-21.6873,-2.66362,5.41728,20.1294,-2.29477,-19.2836
2011-02-17,15:00,-22.0224,-1.39737,8.164,5.83835,-6.36983,-26.4463
2011-02-24,12:00,-28.166,0.6588,15.1888,20.3368,-13.3581,-26.4548
2011-02-27,15:00,-28.3545,1.70173,17.3634,24.851,-4.72015,-30.2123
2011-03-15,06:00,-26.5938,-4.0765,10.8846,25.7681,-5.3259,-28.4814
2011-03-16,06:00,-25.8041,-4.58941,11.1939,25.068,-0.318685,-23.7297
2011-03-17,06:00,-27.0293,-4.9406,11.1425,25.2076,2.03701,-24.3946
2011-03-26,18:00,-28.354,2.07389,13.3469,18.7609,-8.01329,-26.9246
2011-03-27,18:00,-29.1336,3.6202,9.8696,18.0206,-10.438,-23.114
2011-04-25,18:00,-25.0031,0.261413,9.03223,16.7822,-14.833,-32.2606
2011-04-27,03:00,-24.5394,-1.29855,11.1497,17.9979,-13.6839,-31.3682
2011-04-28,06:00,-24.1131,0.257278,13.1725,20.1096,-8.45894,-27.6158
2011-05-09,15:00,-30.4869,1.57393,5.03258,11.8771,-20.257,-35.2711
2011-05-13,00:00,-25.4527,-0.518124,15.4714,10.9373,-13.3301,-31.2184
2011-05-14,09:00,-23.9806,0.271492,14.9232,10.5404,-5.54654,-31.8375
2011-05-20,00:00,-25.8277,0.77419,13.6471,16.1191,-1.36756,-18.8422
2011-05-21,00:00,-28.1878,-0.601108,12.0993,19.6859,2.63522,-18.6988
2011-05-22,21:00,-28.2406,-0.501496,9.71932,22.4225,1.60345,-19.3444
2011-05-25,15:00,-27.9679,1.95212,12.6406,22.1001,-4.47831,-14.945
2011-06-04,09:00,-31.4199,3.18815,13.549,25.2754,6.92001,-22.6417
2011-06-18,18:00,-25.877,0.939857,14.3275,19.2464,-12.9668,-4.25338
2011-06-28,18:00,-25.179,0.938756,20.7158,25.7129,-5.3246,-26.8831
2011-07-16,21:00,-28.3843,-3.03825,8.84143,16.7305,-18.4052,-31.4049
2011-07-27,18:00,-27.9662,-0.759438,8.79003,22.93,-17.0527,-32.5159
2011-07-28,18:00,-29.2681,0.00730562,10.9536,19.9766,-17.9263,-35.7118
2011-08-03,06:00,-31.2291,0.563068,5.21482,13.7569,-8.52554,-32.1695
2011-08-19,09:00,-25.421,0.600117,12.995,19.2135,-16.9804,-25.3869
2011-08-20,09:00,-25.0316,0.716018,10.8611,18.7781,-15.1506,-25.1298
2011-08-21,12:00,-24.8342,2.43836,12.1389,18.8427,-12.6981,-25.624
2011-08-31,15:00,-25.0464,0.286349,16.1809,17.0632,-0.46618,-17.8404
2011-09-01,00:00,-24.9146,0.594918,16.4645,19.0972,-3.3013,-20.6299
2011-09-09,00:00,-21.9971,0.352221,-8.26685,38.9012,-13.2119,-34.1796
2011-09-23,18:00,-24.539,3.32643,14.2503,19.2477,-11.7606,-22.5617
2011-10-11,00:00,-21.7442,5.93211,14.902,19.0865,-12.4159,-18.5717
2011-10-14,09:00,-25.4206,0.726639,17.9966,14.2026,-10.6523,-24.4358
2011-10-18,12:00,-25.6287,1.21215,14.1269,16.4672,-12.8509,-24.7782
2011-10-22,15:00,-24.1831,0.769412,14.9259,17.5762,-10.1616,-23.4244
2011-10-29,00:00,-28.5857,-0.536419,10.3985,27.9855,-11.4867,-26.0928
2011-11-06,15:00,-25.329,7.43789,5.67181,28.4528,-5.92865,-23.6744
2011-11-10,03:00,-28.5499,2.73753,4.75877,30.819,-13.1313,-28.7261
2011-11-13,06:00,-27.005,-2.50595,9.95991,18.7318,-7.18963,-22.2746
2011-11-18,21:00,-29.3838,-2.6082,15.3338,16.6751,-18.5246,-25.7393
2011-11-19,21:00,-29.9761,3.44184,13.0402,20.0425,-30.7051,-29.7122
2011-12-06,12:00,-26.6229,1.35885,4.64821,31.0125,-6.93978,-21.8602
2011-12-16,00:00,-31.0227,-2.91355,11.0115,27.2725,-14.7446,-25.3945
2011-12-17,00:00,-31.3344,0.337203,8.25812,28.093,-13.278,-24.9769
2011-12-26,00:00,-28.2576,13.8286,22.1717,25.9598,-19.5918,-31.8982
2011-12-27,09:00,-27.5939,10.1752,17.9975,24.4803,-12.8326,-29.9901
2012-01-04,18:00,-27.4201,5.42563,8.21391,29.9394,-13.0212,-22.7592
2012-01-15,03:00,-23.6971,12.4378,7.37953,21.4706,-19.5024,-23.0675
2012-01-19,12:00,-24.2498,-0.269242,11.4308,28.5094,-12.4491,-19.379
2012-02-11,15:00,-22.4294,4.76159,8.60383,21.7399,-13.2494,-36.7616
2012-02-16,21:00,-20.3305,0.936605,6.55076,30.6943,-8.48206,-9.84668
2012-02-17,21:00,-21.5181,0.263029,6.03609,27.467,-14.5271,-13.324
2012-02-23,09:00,-19.7867,0.784571,3.0322,25.0721,-23.7141,-0.925037
2012-03-22,09:00,-28.5621,11.5223,10.8285,27.275,-21.5412,-35.2228
2012-03-26,00:00,-26.9094,9.79612,13.5781,25.0962,-24.41,-37.4589
2012-03-29,09:00,-26.5918,8.68748,5.14017,21.5657,-21.1531,-27.8398
2012-03-31,00:00,-26.3032,6.11466,13.3462,26.1231,-20.1048,-31.5218
2012-04-06,09:00,-32.0196,4.9312,10.0889,23.2897,-22.065,-27.4457
