Filter SHA results: L, M: 13, 10
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,0.0856645,0.243125,2.11214,1.60749,1.03198,-0.801836
2010-01-07,06:00,1.67087,-2.08797,0.474327,0.269041,0.189283,1.31809
2010-01-08,21:00,-0.550216,-0.252685,0.949329,0.548452,1.04811,-0.0584265
2010-02-09,03:00,0.731528,-1.42991,-0.109665,-0.628819,-2.27681,0.947657
2010-02-20,18:00,-0.311037,-1.61517,0.205884,0.499509,1.59132,0.799675
2010-02-27,03:00,-0.279326,-1.8833,-0.410158,1.57053,0.40204,-1.07972
2010-02-28,09:00,-0.495176,-1.23869,-1.05097,-0.310581,0.138699,-0.362844
2010-03-09,09:00,0.30235,-0.212118,-0.585119,-2.4599,1.33121,1.71979
2010-03-18,18:00,1.7394,-0.0214131,1.7478,1.57391,0.456997,-0.431578
2010-03-22,03:00,0.836049,-2.30008,-0.21818,-2.5759,1.19079,-0.186277
2010-03-24,00:00,1.09792,0.31522,1.2965,1.85787,0.127504,0.861931
2010-03-27,15:00,-2.58188,2.80028,1.81396,0.761166,-0.578689,0.521359
2010-04-18,18:00,-0.824951,0.311148,0.247737,-2.22285,0.148977,0.961498
2010-04-25,21:00,-1.96588,0.376377,1.52196,-1.90681,-0.0824864,0.324777
2010-04-27,18:00,-0.117306,-1.17383,0.102936,1.07146,-0.271629,-0.526816
2010-05-14,03:00,-0.477088,-1.16087,-1.33471,1.3605,0.949675,-1.34971
2010-05-16,03:00,1.04948,-1.18038,0.746541,-1.58327,1.30346,0.129273
2010-05-23,00:00,-0.539616,0.280753,-2.72436,0.0607169,-0.851366,-0.716842
2010-05-24,09:00,3.01477,0.281145,0.485014,-2.3044,0.380272,0.457886
2010-05-27,15:00,0.239241,-0.130492,1.28988,1.79206,0.585426,2.09071
2010-06-12,18:00,1.97907,-1.32261,-1.17492,-1.35616,-0.0391283,1.83063
2010-06-20,09:00,0.446775,0.883458,0.19777,-0.829144,1.04864,0.479604
2010-06-21,21:00,-0.893533,-0.673217,-0.246162,0.399142,0.135682,-0.864626
2010-07-07,00:00,1.53754,0.503413,0.287521,-0.406847,-0.743743,-0.249932
2010-07-11,00:00,-2.23364,-1.24736,-1.50304,0.876636,-0.530262,0.839064
2010-07-17,03:00,-0.889111,1.71709,2.01418,-0.356023,1.20237,1.52531
2010-07-18,03:00,-1.51139,1.4994,1.22619,-0.413835,0.277826,1.27704
2010-07-19,03:00,-0.355439,1.3091,-0.480783,-0.926271,0.6659,-1.09925
2010-08-20,00:00,-2.01725,-0.309384,1.58378,0.823441,-0.439004,1.03076
2010-08-30,03:00,0.252527,-1.87641,-0.947983,-1.2059,-0.481374,-0.340431
2010-08-31,06:00,1.3281,-1.56759,-1.29646,0.868543,-1.64087,0.808656
2010-09-01,00:00,0.849139,-2.55973,-1.56753,0.583416,-0.369182,0.785546
2010-09-04,09:00,0.576013,-0.836752,-0.05232,-1.08211,0.873797,0.701069
2010-09-05,09:00,2.45661,-1.59005,-0.451317,-1.5967,-0.671714,0.208776
2010-09-11,18:00,0.139531,-0.862833,0.374258,-0.0390064,0.884453,0.50127
2010-09-12,21:00,-1.01195,0.728714,-0.651922,0.384079,0.571073,-0.600955
2010-09-22,18:00,-0.0801618,-1.95521,0.979797,-0.229896,0.211226,0.994567
2010-10-02,06:00,-0.437998,-0.849727,0.246257,-0.182552,-0.241383,0.338244
2010-10-04,00:00,-0.172349,-0.73356,1.53192,-0.578786,0.870366,0.932013
2010-10-14,21:00,0.353382,1.5271,-1.13146,-0.260458,1.08575,1.26061
2010-11-01,00:00,1.12263,-1.27323,-0.0787558,-0.646842,-2.0485,-0.547145
2010-11-01,18:00,0.225439,-3.13267,0.476001,-0.871499,-1.04979,-0.0526641
2010-11-07,03:00,0.70328,-1.06904,-0.360074,-0.253338,-0.0404251,1.49362
2010-11-10,03:00,-0.149519,0.525576,1.10117,1.00134,1.23244,0.673388
2010-11-19,18:00,-0.99669,-1.50037,-0.425822,-1.10219,0.581667,-0.220208
2010-12-02,18:00,1.86515,-1.63044,-0.986633,0.971905,-2.25311,0.320041
2010-12-03,18:00,2.12159,-0.604243,-0.691428,-0.910641,0.221389,0.409773
2010-12-05,09:00,1.87438,-0.614799,-0.593646,0.0509494,0.571486,1.03278
2010-12-09,21:00,-0.884695,0.351592,0.633829,0.887541,1.42171,0.40083
2010-12-11,12:00,-1.8228,2.27579,-0.424116,-1.2636,1.18905,-0.436289
2010-12-22,21:00,-1.30161,-3.43423,-1.08191,0.374493,-0.309594,0.850577
2011-01-05,09:00,-0.384285,0.243291,-1.50912,-2.09801,0.067695,-0.829484
2011-01-24,03:00,1.23553,-0.356383,-0.492742,0.228281,-0.41659,1.00591
2011-01-30,15:00,1.71904,1.74603,0.781384,-0.000523508,1.55382,0.00465953
2011-02-03,15:00,0.00106782,-0.785575,-1.13718,0.625534,-0.372417,0.370601
2011-02-13,21:00,0.814302,-0.921049,-0.119318,-0.592837,-0.948405,-0.448448
2011-02-17,15:00,-1.088,0.344954,0.963401,0.196501,-0.207755,0.555007
2011-02-24,12:00,-1.65172,0.294343,0.150338,0.804557,0.873763,0.292021
