Filter SHA results: L, M: 06, 03
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,-0.955906,-2.73838,-1.3249,-0.31455,0.992727,-1.90494
2010-01-07,06:00,1.47307,0.481909,-0.765088,1.19297,3.2779,-1.84311
2010-01-08,21:00,-0.0714867,1.32023,-0.310719,2.99539,1.99748,-1.19985
2010-02-09,03:00,-4.65123,-3.09128,-0.200953,-0.559445,0.222634,-0.00144655
2010-02-20,18:00,1.90159,2.39045,-1.33761,5.71847,4.4169,-2.35572
2010-02-27,03:00,-0.86125,0.0850123,1.95211,0.296511,0.562259,-1.85468
2010-02-28,09:00,-1.03522,-0.235631,-1.55227,-0.796059,1.39631,-1.16286
2010-03-09,09:00,-0.907305,1.49696,-2.00313,6.7479,1.26652,-2.21628
2010-03-18,18:00,1.91738,4.42557,2.05167,4.02113,3.42268,-0.585467
2010-03-22,03:00,-0.427104,2.70347,-0.516482,3.80626,3.03807,0.0415385
2010-03-24,00:00,2.80786,-0.806994,1.03852,8.14248,4.03547,-3.34885
2010-03-27,15:00,0.137366,-1.79477,-2.58156,0.773424,3.00783,-2.02787
2010-04-18,18:00,-2.57835,-1.33498,2.97449,5.33531,1.24682,-2.03429
2010-04-25,21:00,-2.91029,-0.51217,1.69761,1.37163,1.11329,-3.16488
2010-04-27,18:00,-0.411027,0.251817,-1.36122,2.6444,1.24676,-2.2247
2010-05-14,03:00,-0.960687,-3.09333,-0.527591,2.43427,0.928611,-2.13884
2010-05-16,03:00,-0.454135,-5.68504,2.35757,3.71841,-0.434781,-1.88665
2010-05-23,00:00,0.747903,-2.73047,4.51554,2.99072,1.2067,-2.42325
2010-05-24,09:00,1.75874,1.37027,-1.14858,-0.142906,1.26128,-2.98002
2010-05-27,15:00,-1.42428,-0.573177,-1.31478,-1.61244,-0.894485,-2.81953
2010-06-12,18:00,0.0969024,-0.983535,-1.35808,3.08716,2.07552,-1.6589
2010-06-20,09:00,-1.55709,2.46657,-2.77967,2.36293,4.51905,-3.59443
2010-06-21,21:00,-0.924336,-0.290384,-2.74377,1.89196,2.25504,-1.93643
2010-07-07,00:00,-1.98655,0.590105,0.620876,1.02968,1.26769,-0.814016
2010-07-11,00:00,0.161917,-1.53613,1.33435,1.29368,1.79783,-3.13144
2010-07-17,03:00,-0.598855,-4.10095,-4.73654,-2.50355,3.79106,-2.74224
2010-07-18,03:00,0.393819,-2.06559,0.130169,1.36789,2.78346,-0.972031
2010-07-19,03:00,0.746723,-1.04122,-0.81992,3.79869,1.96981,-2.69394
2010-08-20,00:00,0.70021,-1.06321,1.23438,-0.687873,2.17672,-2.32399
2010-08-30,03:00,-1.64029,-0.699496,-0.128905,-1.51279,2.09251,-2.57689
2010-08-31,06:00,-0.478895,0.476136,-0.630587,1.22628,3.84633,-2.14154
2010-09-01,00:00,-0.375339,-0.893496,1.26376,0.245952,3.30759,-1.89886
2010-09-04,09:00,1.4877,-0.491005,1.98089,-0.800663,2.67004,-2.55379
2010-09-05,09:00,0.409345,0.561647,4.07086,-0.00485337,1.45277,-3.3233
2010-09-11,18:00,0.09002,1.25225,-2.47242,0.982898,0.308271,-1.53435
2010-09-12,21:00,0.418142,0.468079,0.143272,-1.07034,2.4775,-2.76018
2010-09-22,18:00,-1.78393,-1.7701,2.68359,3.63491,1.59153,-2.03893
