Filter SHA results: L, M: 07, 05
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,-3.51129,0.64717,-0.425273,1.10488,0.577394,0.0434327
2010-01-07,06:00,0.115928,1.3145,2.87704,0.387477,-0.522426,0.726772
2010-01-08,21:00,-1.21457,0.556737,0.798839,0.73609,-1.82915,0.300389
2010-02-09,03:00,-3.54388,-0.0104218,-0.791629,0.0549351,1.10823,-1.49717
2010-02-20,18:00,-2.92975,0.65398,1.94091,-0.222047,-0.897615,-0.733458
2010-02-27,03:00,-3.53642,-0.650668,0.476647,-0.889211,0.975621,-0.0610717
2010-02-28,09:00,-1.65131,0.062991,-0.802307,-1.89365,0.270025,0.876082
2010-03-09,09:00,-4.9656,0.485184,-1.41286,0.110395,0.343645,-0.398484
2010-03-18,18:00,-3.84023,3.0421,0.238924,-0.942704,-0.531919,-0.565841
2010-03-22,03:00,-2.53184,2.50698,-1.83406,-1.13686,0.732239,0.964479
2010-03-24,00:00,-2.37649,3.36115,-2.21202,-1.39156,1.0122,0.332132
2010-03-27,15:00,-3.7236,0.874137,1.61127,1.31215,1.47737,1.07866
2010-04-18,18:00,-2.55254,1.22106,-0.593189,-0.614928,1.13484,-0.166125
2010-04-25,21:00,-2.74182,0.623831,-0.766079,-1.49072,-0.590684,0.577067
2010-04-27,18:00,-2.61636,1.2459,-1.14186,-0.748818,-1.33891,-1.5983
2010-05-14,03:00,-5.40321,0.533192,-0.295199,-0.585388,2.19769,-1.27005
2010-05-16,03:00,-3.82984,0.342206,1.33298,0.27159,-0.142161,-0.0286016
2010-05-23,00:00,-1.67143,1.92862,-0.298941,2.6235,2.99723,-0.822392
2010-05-24,09:00,-1.61177,0.0531502,0.308672,1.55867,0.219584,-0.591719
2010-05-27,15:00,-2.05844,0.33552,-0.92343,-0.222349,-0.672624,0.330146
2010-06-12,18:00,-1.28663,0.660447,0.50556,0.173409,0.414767,0.80919
2010-06-20,09:00,-0.315552,2.77656,-0.346194,1.34794,-0.796655,-1.01378
2010-06-21,21:00,-2.25948,0.50233,-0.0892407,2.38719,0.57147,0.59812
2010-07-07,00:00,-2.03848,1.7432,0.781232,-2.72984,-0.523443,-0.0107333
2010-07-11,00:00,-4.79971,1.80008,-1.5544,-1.79085,-0.609738,-1.82578
