Filter SHA results: L, M: 06, 00
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,-14.17,0,14.1642,0,-0.672047,0
2010-01-07,06:00,-12.6473,0,13.4812,0,0.0911276,0
2010-01-08,21:00,-18.091,0,12.2344,0,1.15422,0
2010-02-09,03:00,-17.1383,0,5.67092,0,1.24622,0
2010-02-20,18:00,-18.9103,0,12.3982,0,-0.443216,0
2010-02-27,03:00,-27.5565,0,13.2035,0,1.80034,0
2010-02-28,09:00,-26.9871,0,14.0299,0,1.49593,0
2010-03-09,09:00,-19.7728,0,14.94,0,-1.51156,0
2010-03-18,18:00,-20.4517,0,12.308,0,-0.286357,0
2010-03-22,03:00,-19.0922,0,11.5189,0,0.00914979,0
2010-03-24,00:00,-18.1966,0,10.4847,0,1.8466,0
2010-03-27,15:00,-16.687,0,9.00796,0,1.85771,0
2010-04-18,18:00,-20.1091,0,11.2642,0,-0.596426,0
2010-04-25,21:00,-15.49,0,15.5058,0,-1.36417,0
2010-04-27,18:00,-13.3104,0,15.8177,0,-2.44703,0
2010-05-14,03:00,-21.7652,0,16.1113,0,3.97443,0
2010-05-16,03:00,-18.9945,0,13.5756,0,2.97247,0
2010-05-23,00:00,-17.9283,0,11.6791,0,3.80431,0
2010-05-24,09:00,-18.0871,0,11.4239,0,-1.58209,0
2010-05-27,15:00,-19.0604,0,10.0769,0,-1.45664,0
2010-06-12,18:00,-22.3809,0,11.0325,0,0.788857,0
2010-06-20,09:00,-15.0955,0,10.3624,0,3.22918,0
2010-06-21,21:00,-17.1799,0,10.5227,0,0.439514,0
2010-07-07,00:00,-18.987,0,15.8912,0,-1.19616,0
2010-07-11,00:00,-19.6147,0,13.6345,0,4.81419,0
2010-07-17,03:00,-15.2773,0,12.5778,0,3.88646,0
2010-07-18,03:00,-15.442,0,11.5678,0,2.51841,0
2010-07-19,03:00,-16.4828,0,9.62093,0,1.71184,0
2010-08-20,00:00,-15.045,0,9.77844,0,1.75976,0
2010-08-30,03:00,-14.6925,0,12.3767,0,-0.972795,0
2010-08-31,06:00,-12.9808,0,14.6356,0,-0.46607,0
2010-09-01,00:00,-15.8093,0,13.9069,0,-3.95916,0
2010-09-04,09:00,-13.7325,0,16.7817,0,0.184308,0
2010-09-05,09:00,-17.0301,0,14.1152,0,-0.618483,0
2010-09-11,18:00,-15.5421,0,11.9056,0,1.567,0
2010-09-12,21:00,-15.4446,0,7.09143,0,1.08946,0
2010-09-22,18:00,-16.1203,0,11.995,0,0.316409,0
2010-10-02,06:00,-19.7953,0,10.5525,0,1.60455,0
2010-10-04,00:00,-20.9925,0,11.1074,0,1.90446,0
2010-10-14,21:00,-14.4008,0,14.7169,0,0.197971,0
2010-11-01,00:00,-14.0195,0,8.01659,0,0.432565,0
2010-11-01,18:00,-12.7643,0,8.03331,0,-2.01921,0
2010-11-07,03:00,-13.9945,0,10.9041,0,0.548364,0
2010-11-10,03:00,-10.6652,0,12.1349,0,0.0990846,0
2010-11-19,18:00,-14.4694,0,6.17575,0,0.432171,0
2010-12-02,18:00,-14.2822,0,11.4831,0,1.94247,0
2010-12-03,18:00,-13.2571,0,15.9189,0,2.9185,0
2010-12-05,09:00,-17.2845,0,13.4882,0,4.27255,0
2010-12-09,21:00,-18.8877,0,10.1356,0,8.88972,0
2010-12-11,12:00,-19.4323,0,9.32044,0,7.46188,0
2010-12-22,21:00,-16.1306,0,15.6233,0,0.910635,0
2011-01-05,09:00,-16.0791,0,9.34915,0,-1.5169,0
2011-01-24,03:00,-13.7943,0,12.9463,0,0.406724,0
2011-01-30,15:00,-12.7756,0,7.28144,0,2.12358,0
2011-02-03,15:00,-17.3393,0,10.3899,0,-0.444645,0
2011-02-13,21:00,-15.1101,0,10.5072,0,3.09742,0
2011-02-17,15:00,-14.3085,0,5.5596,0,0.238154,0
2011-02-24,12:00,-14.4725,0,5.14465,0,2.33337,0
2011-02-27,15:00,-12.2492,0,4.71233,0,0.882695,0
2011-03-15,06:00,-13.7904,0,11.2824,0,1.19765,0
2011-03-16,06:00,-12.8577,0,13.6693,0,2.96322,0
2011-03-17,06:00,-11.3006,0,16.7657,0,3.40736,0
2011-03-26,18:00,-14.1393,0,9.44845,0,1.69688,0
2011-03-27,18:00,-13.9722,0,10.8017,0,0.229204,0
2011-04-25,18:00,-19.9729,0,13.2628,0,1.05419,0
2011-04-27,03:00,-21.7049,0,12.7054,0,1.44733,0
2011-04-28,06:00,-19.1446,0,14.2402,0,1.07915,0
2011-05-09,15:00,-11.3305,0,14.3852,0,2.26508,0
2011-05-13,00:00,-13.8068,0,12.6594,0,2.30456,0
2011-05-14,09:00,-13.1185,0,11.5804,0,2.54886,0
2011-05-20,00:00,-11.1874,0,15.9524,0,5.38762,0
2011-05-21,00:00,-13.4102,0,17.2132,0,4.03494,0
2011-05-22,21:00,-13.939,0,13.9336,0,1.76915,0
2011-05-25,15:00,-11.8136,0,17.5039,0,3.08364,0
2011-06-04,09:00,-17.4061,0,7.54163,0,-2.23389,0
2011-06-18,18:00,-15.1791,0,13.9585,0,-0.311823,0
2011-06-28,18:00,-17.6267,0,3.09122,0,0.493363,0
2011-07-16,21:00,-15.7669,0,5.73155,0,1.54687,0
2011-07-27,18:00,-14.892,0,11.7317,0,-2.9837,0
2011-07-28,18:00,-15.6343,0,11.1419,0,-3.33084,0
2011-08-03,06:00,-13.768,0,7.36956,0,-2.39341,0
2011-08-19,09:00,-16.5271,0,8.56954,0,-3.15465,0
2011-08-20,09:00,-17.2887,0,6.47046,0,-4.59439,0
2011-08-21,12:00,-19.04,0,2.8104,0,-3.63963,0
2011-08-31,15:00,-17.2797,0,8.96916,0,0.906862,0
2011-09-01,00:00,-17.8246,0,8.18174,0,-0.010803,0
2011-09-09,00:00,-17.7789,0,11.4476,0,3.27405,0
2011-09-23,18:00,-18.0026,0,8.99527,0,0.135243,0
2011-10-11,00:00,-17.4452,0,6.86313,0,-4.11053,0
2011-10-14,09:00,-17.9055,0,10.4116,0,-1.86401,0
2011-10-18,12:00,-18.8218,0,8.06613,0,-0.629804,0
2011-10-22,15:00,-19.7365,0,8.43604,0,-0.804267,0
2011-10-29,00:00,-17.9375,0,5.85676,0,1.14849,0
2011-11-06,15:00,-15.4155,0,3.79978,0,-2.15995,0
2011-11-10,03:00,-17.7729,0,4.90087,0,-0.927736,0
2011-11-13,06:00,-19.2001,0,6.1119,0,-1.69744,0
2011-11-18,21:00,-20.4949,0,5.71995,0,-1.98778,0
2011-11-19,21:00,-19.8824,0,9.28385,0,2.59103,0
2011-12-06,12:00,-12.7583,0,9.71175,0,-3.75074,0
2011-12-16,00:00,-15.1831,0,9.34249,0,-1.2494,0
2011-12-17,00:00,-14.9618,0,9.93976,0,-1.20432,0
2011-12-26,00:00,-20.7322,0,14.0172,0,2.75959,0
2011-12-27,09:00,-20.8843,0,15.9574,0,-0.459519,0
2012-01-04,18:00,-13.0106,0,7.50134,0,-3.18004,0
2012-01-15,03:00,-11.8985,0,0.232571,0,-4.42163,0
2012-01-19,12:00,-15.571,0,1.84119,0,-0.242695,0
2012-02-11,15:00,-19.0929,0,15.7758,0,-2.64102,0
2012-02-16,21:00,-17.1654,0,13.4397,0,7.05932,0
2012-02-17,21:00,-17.8989,0,13.4993,0,3.80197,0
2012-02-23,09:00,-23.3969,0,10.2238,0,4.33637,0
2012-03-22,09:00,-14.3787,0,2.77566,0,-3.36443,0
2012-03-26,00:00,-10.1677,0,4.69823,0,0.741102,0
2012-03-29,09:00,-14.4347,0,6.19464,0,-1.24829,0
2012-03-31,00:00,-15.2298,0,9.48651,0,-0.023582,0
2012-04-06,09:00,-11.0256,0,5.456,0,2.48452,0
2012-04-09,06:00,-10.6084,0,9.31719,0,3.8126,0
2012-04-16,09:00,-11.8712,0,8.29764,0,-0.647881,0
2012-04-21,03:00,-12.3611,0,7.1167,0,-2.49018,0
2012-04-30,09:00,-17.0902,0,9.2459,0,-1.0897,0
2012-05-04,15:00,-11.2471,0,5.72119,0,5.65664,0
2012-05-05,15:00,-11.7492,0,6.13067,0,7.08985,0
2012-05-07,09:00,-14.4026,0,7.20121,0,2.6747,0
2012-05-21,15:00,-13.7558,0,6.40936,0,-2.03147,0
2012-05-27,18:00,-15.7682,0,5.67073,0,-5.29272,0
2012-05-29,06:00,-12.2813,0,7.62547,0,-0.880559,0
2012-06-13,21:00,-15.6004,0,14.1747,0,3.94845,0
2012-06-15,00:00,-15.7704,0,14.0373,0,4.83711,0
2012-06-21,18:00,-16.4284,0,11.2326,0,-8.6859,0
2012-06-23,03:00,-19.6738,0,11.6694,0,-3.13858,0
2012-07-13,21:00,-13.134,0,15.0049,0,-1.73779,0
2012-07-27,00:00,-18.5738,0,6.92425,0,2.29091,0
