Filter SHA results: L, M: 04, 02
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,-4.49471,-3.88437,2.25212,5.06835,6.09375,-11.4262
2010-01-07,06:00,-3.18549,-6.71018,-0.132584,3.8351,-0.243576,-4.9563
2010-01-08,21:00,-1.99513,-7.54572,0.916652,6.09105,-1.02901,-6.64138
2010-02-09,03:00,-5.55271,-5.81056,-1.0809,4.76907,7.2696,-4.71743
2010-02-20,18:00,-1.41634,-6.52241,-3.03595,4.03775,2.99557,-4.76864
2010-02-27,03:00,-5.83294,-5.44631,-0.944806,4.56104,8.24492,-3.77279
2010-02-28,09:00,-5.37731,-5.4644,2.23721,5.94093,11.0271,-3.7739
2010-03-09,09:00,-2.20532,-4.34045,0.682897,0.571047,8.39633,-2.3072
2010-03-18,18:00,-4.01837,-6.18949,-1.15895,3.55449,5.37937,-3.31256
2010-03-22,03:00,-2.98936,-5.62891,-1.57022,4.64677,4.08051,-4.02735
2010-03-24,00:00,-6.54959,-5.91987,-5.52316,-4.93463,7.35023,-2.61643
2010-03-27,15:00,-1.76924,-1.99885,-0.902249,5.0355,0.0933298,-4.07631
2010-04-18,18:00,-5.22262,-4.06093,-3.0697,3.45903,2.66617,-12.3497
2010-04-25,21:00,-4.55077,-3.61354,-4.83558,2.56826,0.445576,-8.0058
2010-04-27,18:00,-2.69758,-1.06844,-2.4168,2.26179,2.37686,-7.54465
2010-05-14,03:00,-2.62957,-1.45859,-0.303789,4.88867,0.827833,-4.62553
2010-05-16,03:00,-6.17589,-1.0842,-5.85332,5.6251,1.98989,-3.32808
2010-05-23,00:00,-2.29372,-0.257526,-0.769489,6.6005,8.4715,-1.66664
2010-05-24,09:00,-3.20094,2.32916,-4.62047,7.35158,1.79585,-4.93027
2010-05-27,15:00,-3.14017,-5.24138,-5.89639,9.65997,0.201365,-9.24348
2010-06-12,18:00,-3.30794,-4.42104,-2.72059,8.77065,4.64822,-5.42285
2010-06-20,09:00,-3.57841,-3.41971,-3.9945,7.30284,-3.73967,-1.21807
2010-06-21,21:00,-4.14932,-3.91289,-2.79517,5.87359,-1.52897,-0.511712
2010-07-07,00:00,-7.0892,-4.04829,-6.66076,5.91094,-1.53859,-11.923
2010-07-11,00:00,-4.42085,-4.82171,-6.90001,5.37077,2.20338,-8.60401
2010-07-17,03:00,-2.04443,-4.76348,-2.17531,8.49418,2.20482,2.87055
2010-07-18,03:00,-6.23992,-1.53784,-3.68501,6.87259,0.178114,-2.58401
2010-07-19,03:00,-6.9524,-2.73671,-4.31732,4.46963,-3.01423,-3.33303
2010-08-20,00:00,-4.22795,-4.2461,-5.13816,4.82695,-3.50892,-7.32311
2010-08-30,03:00,-7.23167,-0.799117,-6.29448,5.23045,0.720273,1.4463
2010-08-31,06:00,-4.0925,-1.60233,-4.38661,5.22638,-4.53788,3.3415
2010-09-01,00:00,-4.1034,-2.66197,-1.75035,4.1651,-2.55719,-0.999892
2010-09-04,09:00,-3.47773,-2.80084,-2.11028,7.86263,1.05976,-6.4051
2010-09-05,09:00,-4.57489,-2.9383,-3.7676,7.39804,0.40146,-5.02001
