Filter SHA results: L, M: 10, 01
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,-1.12923,0.623776,-1.13899,-2.81201,-2.14298,-0.761065
2010-01-07,06:00,3.7905,-3.66005,1.25936,1.83283,-0.503543,-1.59881
2010-01-08,21:00,2.86152,0.325847,-1.51213,-0.0960858,-0.667252,-2.06657
2010-02-09,03:00,0.273712,-1.97221,0.725893,1.91187,-0.84342,-1.5647
2010-02-20,18:00,1.91021,1.78844,-0.425802,-5.12335,-2.07367,-0.527967
2010-02-27,03:00,-2.83217,-1.16646,-4.89654,0.462745,-0.376115,0.990361
2010-02-28,09:00,-0.980638,-2.84257,-2.61824,0.766003,-0.276579,0.858185
2010-03-09,09:00,3.55128,-0.264356,-2.6309,4.78445,0.869319,-1.27965
2010-03-18,18:00,4.49711,0.100504,-2.04098,0.0884066,-0.660439,-1.19457
2010-03-22,03:00,3.01278,-2.54677,0.657417,1.22799,0.0944018,-0.624229
2010-03-24,00:00,5.82046,-1.36502,-2.61437,2.94542,-0.710942,-0.970573
2010-03-27,15:00,0.515276,-2.53477,-0.66326,2.36307,-1.54367,0.0826262
2010-04-18,18:00,-1.49592,-2.17425,-0.428018,4.59373,-2.78973,-0.117644
2010-04-25,21:00,2.1402,-0.791187,-0.511772,0.7016,-2.31202,-1.40953
2010-04-27,18:00,0.819792,1.37931,0.74975,-2.76847,0.59167,-0.672536
2010-05-14,03:00,1.49706,-6.81486,-2.29239,0.255845,-2.46879,1.58748
2010-05-16,03:00,2.3883,-3.24098,-1.80493,0.242798,-1.36276,0.773165
2010-05-23,00:00,4.04381,-0.77571,-0.868096,0.74471,-4.31046,2.73868
2010-05-24,09:00,3.4091,1.27841,-1.29146,1.38653,-0.365999,1.00964
2010-05-27,15:00,-1.79029,-3.29539,-2.05519,0.494741,0.378911,-1.30084
2010-06-12,18:00,-3.82661,-1.78221,-3.99761,2.42683,-1.40176,-0.20207
