Filter SHA results: L, M: 05, 04
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,1.90986,10.2465,1.5954,1.57407,-6.33431,5.0927
2010-01-07,06:00,0.968319,10.3099,-0.332424,1.86171,-5.91511,-1.46019
2010-01-08,21:00,-2.0429,8.31172,0.0555058,2.3539,-1.53404,-5.48301
2010-02-09,03:00,2.99949,9.7472,2.94875,1.01007,-7.19079,5.07336
2010-02-20,18:00,1.16302,13.5154,-1.23222,2.05373,-7.49845,1.15435
2010-02-27,03:00,0.105489,11.1891,-1.50206,2.10422,-5.66082,-2.62546
2010-02-28,09:00,0.775817,10.5083,0.431267,2.27992,-4.10169,-1.26789
2010-03-09,09:00,2.55573,9.11382,2.47277,0.170456,-3.54836,3.36669
2010-03-18,18:00,-2.84111,8.20231,2.53722,-0.37094,-1.01284,-2.34523
2010-03-22,03:00,0.173013,6.45402,2.20403,0.865189,-0.903264,1.51002
2010-03-24,00:00,-1.1659,7.97193,6.24025,5.69885,-3.86325,-2.02505
2010-03-27,15:00,-0.893276,9.13271,1.41217,0.78785,-5.92543,-3.18792
2010-04-18,18:00,0.853001,7.8748,2.95068,1.24807,-3.86783,-1.09029
2010-04-25,21:00,1.85202,9.04996,1.15515,3.1219,-5.91764,2.38026
2010-04-27,18:00,0.293292,10.3157,1.51889,3.36393,-4.65521,2.55421
2010-05-14,03:00,1.85026,10.9985,3.37655,4.87565,-6.91506,0.674243
2010-05-16,03:00,0.468283,10.0285,3.94262,1.41256,-8.46184,-0.559533
2010-05-23,00:00,-3.42986,9.1279,-0.0860852,-0.0229604,-7.72896,1.73962
2010-05-24,09:00,-0.0458644,8.83852,0.472839,1.91669,-7.15825,-4.11447
2010-05-27,15:00,0.491718,11.5176,3.6678,2.61688,-6.97234,0.611685
2010-06-12,18:00,-0.490508,9.82657,2.45088,0.542526,-3.45171,-3.29094
2010-06-20,09:00,-0.779269,7.97435,1.92462,2.14356,-3.60208,0.480179
2010-06-21,21:00,1.71769,8.21839,4.37605,1.43739,-4.99846,1.83633
2010-07-07,00:00,0.0210783,8.18136,2.13268,2.63818,-7.93604,-1.0484
2010-07-11,00:00,-0.00357622,10.0058,2.81599,4.25421,-4.12994,0.792931
2010-07-17,03:00,4.42921,9.90413,6.08022,1.02641,-8.32452,2.7165
2010-07-18,03:00,2.0401,9.61739,2.85984,1.56098,-9.99322,0.803137
2010-07-19,03:00,0.196882,10.0473,1.97495,2.88499,-8.11126,-3.45988
2010-08-20,00:00,0.216022,9.8181,1.30709,2.92605,-1.67304,-0.577417
2010-08-30,03:00,0.326007,10.1903,-0.219078,2.29753,-1.47113,0.250384
2010-08-31,06:00,-1.65352,8.19055,3.32746,1.74829,-3.3639,-3.49564
2010-09-01,00:00,-2.01961,9.6676,2.98768,2.15106,-4.24489,-3.27036
2010-09-04,09:00,-0.0749188,10.1388,-0.181665,1.09071,-7.53164,0.554683
2010-09-05,09:00,-1.07379,11.1909,1.79484,-0.427694,-6.8072,-1.18853
2010-09-11,18:00,-1.4588,9.24523,0.739969,3.47711,-3.77804,2.90347
2010-09-12,21:00,-0.325001,9.13859,-0.709197,4.12049,-6.24094,2.45539
2010-09-22,18:00,2.78313,9.25187,3.79956,2.68915,-1.51353,0.588
2010-10-02,06:00,3.01993,9.96202,2.03134,2.59721,-3.70844,2.75793
2010-10-04,00:00,2.97043,9.74648,3.51833,3.15825,-3.82445,2.06824
2010-10-14,21:00,-0.47778,10.012,-0.640477,2.67236,-8.08713,1.09715
2010-11-01,00:00,1.62631,10.389,3.94389,2.91873,-6.69866,1.5689
2010-11-01,18:00,0.719249,10.8011,3.00199,1.27175,-6.07592,2.32086
2010-11-07,03:00,1.99616,9.69128,3.74707,3.77529,-3.71169,0.185722
2010-11-10,03:00,-0.0372158,7.9095,3.34729,3.1768,-5.5634,1.737
2010-11-19,18:00,0.803949,7.04631,3.9349,2.56964,-4.36605,1.18454
2010-12-02,18:00,0.873088,10.41,1.68068,4.77034,-4.16302,1.48474
2010-12-03,18:00,0.401256,11.4888,2.30348,2.91434,-5.74477,2.02776
2010-12-05,09:00,-0.666255,10.8988,3.92903,2.09314,-6.31818,-0.17075
2010-12-09,21:00,-2.26927,11.11,1.40337,5.66043,-5.78512,2.17798
2010-12-11,12:00,-1.04372,12.5588,4.62155,5.9262,-8.00393,4.03591
2010-12-22,21:00,-0.859207,8.78963,1.63148,1.95219,-3.46874,1.91817
2011-01-05,09:00,0.595998,8.26164,6.63522,1.80418,-4.3364,1.63436
2011-01-24,03:00,2.64231,10.4069,1.96154,5.0692,-6.36603,0.292742
2011-01-30,15:00,1.37391,7.35731,2.66282,1.64747,3.32325,1.36835
2011-02-03,15:00,-0.633058,10.4943,1.69405,5.88101,-3.32526,-5.08986
2011-02-13,21:00,-2.43437,11.655,3.71132,2.87507,-7.67716,-0.233934
2011-02-17,15:00,-0.465452,9.38702,4.03017,5.16546,-6.18944,2.06346
2011-02-24,12:00,-1.44659,8.92762,2.64194,2.87364,-4.68269,-3.2387
2011-02-27,15:00,1.11508,11.2751,1.35186,3.19841,-5.80393,0.0223854
2011-03-15,06:00,-1.20926,9.92545,3.32104,3.1733,-3.44304,-0.513971
2011-03-16,06:00,-1.69411,9.42406,3.76578,1.33814,-3.90244,0.288041
2011-03-17,06:00,-1.61666,9.09606,2.9461,0.832703,-5.48271,-0.840813
2011-03-26,18:00,-1.02218,12.443,1.53413,3.59767,-7.98253,-1.88024
2011-03-27,18:00,-1.50271,11.4164,2.5831,3.25907,-7.48914,-2.05189
2011-04-25,18:00,0.0285943,9.18608,5.44511,4.13949,-2.84056,2.03276
2011-04-27,03:00,0.36156,7.97411,3.39105,3.3135,-4.8143,0.251426
2011-04-28,06:00,1.63709,8.75965,4.14211,1.43198,-4.97784,1.73586
2011-05-09,15:00,1.30622,8.35121,2.35349,2.93072,-4.70055,0.61268
2011-05-13,00:00,-0.804087,8.00946,0.569027,0.85621,-8.30867,-1.69852
2011-05-14,09:00,-1.0762,9.61175,-0.153394,1.48087,-7.4516,0.411213
2011-05-20,00:00,-1.19266,4.79673,6.13588,6.34874,-7.57219,-0.586354
2011-05-21,00:00,-0.601981,5.5025,7.5305,5.97648,-5.98876,0.997615
2011-05-22,21:00,-0.52315,6.39054,4.21018,5.66903,-7.29449,-0.86713
2011-05-25,15:00,1.77298,7.22731,7.79103,4.71361,-3.29929,-1.72186
2011-06-04,09:00,1.39969,10.8359,6.64378,7.3352,-1.78625,7.17099
2011-06-18,18:00,-4.9474,9.46869,5.97515,2.43419,-15.8582,6.4062
2011-06-28,18:00,-0.645785,8.33471,4.63574,4.53601,3.82421,-4.09315
2011-07-16,21:00,-0.507396,7.50597,3.83668,3.38211,-0.272173,-2.42088
2011-07-27,18:00,0.00278962,7.91493,2.93229,1.46769,-7.73067,-0.885212
2011-07-28,18:00,-1.62134,10.1383,2.22031,1.87114,-7.76635,-2.83308
2011-08-03,06:00,0.254807,8.36141,2.97081,3.11243,-3.30343,1.70138
2011-08-19,09:00,0.556851,6.00062,2.81153,4.7828,-1.33324,0.0840228
2011-08-20,09:00,1.68651,9.31261,1.6685,4.65063,-0.828936,0.79616
2011-08-21,12:00,-1.58443,9.15968,2.55188,2.83657,-4.00908,-0.873098
2011-08-31,15:00,-1.17393,9.25676,4.85437,3.70687,-0.745815,-3.52714
2011-09-01,00:00,-0.307183,10.0423,4.03911,2.65988,-1.10296,-3.76187
2011-09-09,00:00,-1.44517,7.9658,4.31552,4.55496,-5.42332,0.40443
2011-09-23,18:00,-1.28521,8.45359,6.11248,5.06881,-3.28429,0.161832
2011-10-11,00:00,1.09074,9.55799,3.50498,4.27457,-1.41792,0.238681
2011-10-14,09:00,0.967835,8.68105,2.24914,4.58175,-4.37575,-0.113907
2011-10-18,12:00,1.22662,10.5722,2.27882,3.84226,-5.32021,1.5221
2011-10-22,15:00,0.285591,7.84204,2.57253,6.48177,-0.861103,-0.258564
2011-10-29,00:00,-0.376166,6.5701,5.01884,5.02453,-0.257374,0.0787627
2011-11-06,15:00,-2.80238,8.87356,4.52903,5.80273,-4.79996,-1.84795
2011-11-10,03:00,-0.315981,5.46227,7.67138,5.85086,0.547138,-1.52901
2011-11-13,06:00,0.61906,11.2763,2.83703,-0.166826,-6.52227,-0.408324
2011-11-18,21:00,-0.19618,7.47262,5.4046,3.05937,-3.46339,3.7406
2011-11-19,21:00,0.72903,6.35441,5.34813,2.96444,-4.51443,0.279323
2011-12-06,12:00,-2.13638,6.43689,5.95695,3.98081,-3.54027,-2.07133
2011-12-16,00:00,-1.05038,8.06476,5.27336,0.790185,-3.14752,-2.139
2011-12-17,00:00,-1.46852,6.9619,2.67458,0.621584,-3.55085,-3.1566
2011-12-26,00:00,0.225526,6.8019,5.02841,5.05431,-3.76898,2.89503
2011-12-27,09:00,-0.0569902,9.21988,4.11956,5.57744,-6.9083,-0.705594
2012-01-04,18:00,-2.6681,5.57215,7.54871,3.69975,0.29769,0.629988
2012-01-15,03:00,-1.48097,7.72592,3.07572,3.98904,-4.86944,0.502788
2012-01-19,12:00,-1.74209,8.06548,4.93377,3.84465,-5.90634,-2.32178
2012-02-11,15:00,-2.01059,6.02914,4.24084,0.912827,-1.41623,-3.97766
2012-02-16,21:00,-4.60712,6.44699,7.79444,4.98558,-5.83317,-1.8267
2012-02-17,21:00,-1.72179,7.46595,9.89393,6.27159,-5.44509,0.684624
2012-02-23,09:00,-0.839112,6.17688,8.73871,5.78789,1.65011,-2.28523
2012-03-22,09:00,-3.67821,7.25889,2.73102,3.64102,-2.34969,-1.23509
2012-03-26,00:00,-2.25464,6.41031,4.202,2.76154,-5.4403,-1.52899
2012-03-29,09:00,-1.77509,5.88058,6.91614,1.72403,1.5868,-1.52994
2012-03-31,00:00,0.643913,6.20015,6.80444,2.93391,-2.13166,2.00805
