Filter SHA results: L, M: 13, 05
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,0.573394,-0.380878,-1.06686,-0.342923,-0.228138,0.488027
2010-01-07,06:00,0.432051,0.320886,2.14574,-0.766182,0.629802,0.448583
2010-01-08,21:00,1.10773,1.13008,2.71612,-0.093809,0.570522,-0.655433
2010-02-09,03:00,0.792616,-0.358162,-0.915761,-1.57375,0.32792,0.274942
2010-02-20,18:00,0.414785,-0.384976,0.379758,-0.678061,-0.321911,0.173197
2010-02-27,03:00,-0.0719263,-0.364885,0.467563,-1.52532,1.4417,-0.162381
2010-02-28,09:00,0.293434,-0.265403,0.366426,-2.58917,1.09125,0.25433
2010-03-09,09:00,0.927523,0.787712,-0.755357,-0.538913,0.288364,-1.33884
2010-03-18,18:00,-0.669172,-0.957284,-1.80269,0.981603,0.900207,0.289509
2010-03-22,03:00,0.0750259,-1.14664,-1.81666,-1.07321,0.852496,0.618589
2010-03-24,00:00,0.435499,2.05308,-0.203952,-0.0802251,-0.165857,0.845143
2010-03-27,15:00,1.20781,1.42326,0.0819215,-0.524135,1.07361,0.851951
2010-04-18,18:00,-1.01416,-0.972915,1.11173,1.05224,0.12166,0.369537
2010-04-25,21:00,0.742266,-2.31982,-0.921016,-1.94966,-0.96364,0.340002
2010-04-27,18:00,0.582199,-0.68086,-2.61992,-1.67608,-0.68995,-1.03668
2010-05-14,03:00,1.91253,0.164663,-0.636662,-1.97056,0.294275,-0.015247
2010-05-16,03:00,1.0308,-0.284568,1.01331,-0.0805743,-0.213552,-0.623659
2010-05-23,00:00,1.34719,-1.96578,-0.949401,-0.017037,1.20237,0.736463
2010-05-24,09:00,-0.0471425,-0.881956,-0.851267,0.594753,0.752663,-0.234451
2010-05-27,15:00,-0.895401,-1.05577,2.88621,-2.47963,-0.932729,0.211258
2010-06-12,18:00,0.264883,0.213935,-2.02518,0.860742,0.146191,0.274334
2010-06-20,09:00,0.752824,-1.49423,-1.20194,-1.4507,-0.120014,-0.150113
2010-06-21,21:00,-0.396218,-0.7191,0.0174783,-1.91562,0.112294,1.47758
2010-07-07,00:00,0.935733,-0.348039,1.61494,-3.42731,-0.95117,-0.0145936
2010-07-11,00:00,-0.00387567,-1.86657,-1.88653,-0.887905,-0.313043,0.204822
2010-07-17,03:00,1.29835,-1.38247,-1.65821,-1.1441,-0.644179,0.172121
2010-07-18,03:00,0.587197,0.634529,-1.2937,0.495446,0.258758,-0.245793
2010-07-19,03:00,-0.538115,0.262648,-1.73473,-0.677139,1.06707,0.00784221
2010-08-20,00:00,1.01822,0.465996,-0.626345,-1.16672,-0.214524,0.74807
2010-08-30,03:00,-1.52237,0.331199,1.27519,0.513347,-0.339637,-0.69134
2010-08-31,06:00,-1.62385,-1.09865,-1.29092,0.425253,1.08525,0.772858
2010-09-01,00:00,-0.512798,-1.57938,-1.44927,-0.995143,-0.43429,1.09281
2010-09-04,09:00,-0.258018,0.267626,-0.0524842,-1.50778,0.0100175,-0.11489
