Filter SHA results: L, M: 13, 01
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,0.0882791,-2.32109,1.9374,-0.24995,-2.75253,1.62693
2010-01-07,06:00,0.425852,-0.925388,0.0540248,-2.56657,2.30614,-1.66939
2010-01-08,21:00,-1.42297,0.437002,-0.265344,-0.640842,1.03508,-1.83258
2010-02-09,03:00,1.23519,-0.867198,-0.490455,-3.42138,2.90093,-3.21771
2010-02-20,18:00,1.5018,-2.83388,4.01488,-2.67857,-0.32246,-1.13361
2010-02-27,03:00,-1.56289,-0.624186,-2.13715,-3.83534,-0.447324,0.819731
2010-02-28,09:00,-0.122712,-1.19147,0.763452,-4.66757,0.0686952,0.514136
2010-03-09,09:00,0.743627,-0.432528,0.444124,-0.55784,3.12652,-0.216293
2010-03-18,18:00,-1.14627,-0.705366,3.89557,-0.422331,0.167802,0.170788
2010-03-22,03:00,-1.97586,0.405386,3.00461,-2.89569,-0.146632,0.47267
2010-03-24,00:00,-1.53286,0.957491,2.73471,-5.572,-0.735752,-0.603515
2010-03-27,15:00,-1.65565,0.472012,0.754217,-3.94956,-0.600801,0.622096
2010-04-18,18:00,0.0552581,-0.147069,0.749392,-4.2404,0.659956,-1.01919
2010-04-25,21:00,-3.03013,1.05243,-0.15476,-1.34726,0.415381,-1.80032
2010-04-27,18:00,0.608095,-0.872007,-2.0286,0.00219139,1.94513,-1.41995
2010-05-14,03:00,-1.36606,-0.230928,0.406945,-4.58947,-0.590173,-0.998093
2010-05-16,03:00,-1.35729,0.705477,0.915599,-2.30047,-0.493961,-1.80038
2010-05-23,00:00,-0.838534,-1.52618,1.32893,-1.8178,-0.973411,0.936467
2010-05-24,09:00,0.657747,-2.77444,-2.24569,0.55816,1.98034,-1.3409
2010-05-27,15:00,0.181063,-0.672909,-4.76301,-2.52164,3.07444,-2.20545
2010-06-12,18:00,1.11234,-0.806481,0.208373,-2.16512,1.60537,-0.485157
2010-06-20,09:00,1.01803,-1.78316,1.25696,-1.66251,0.655159,-2.28399
2010-06-21,21:00,-0.225626,1.48287,3.9106,-1.5662,0.584526,-1.29552
2010-07-07,00:00,-0.342685,1.48556,1.29455,-3.72211,3.77788,-1.88543
2010-07-11,00:00,2.01368,-0.0729522,2.81652,-3.39995,-0.553958,0.610571
2010-07-17,03:00,-1.80071,-1.93468,-1.43884,-1.50261,2.11793,-0.164865
2010-07-18,03:00,0.228926,0.792719,-0.584466,0.607451,1.13125,-1.3868
2010-07-19,03:00,-1.7997,2.27126,-2.39137,-1.4315,1.37478,-2.46025
2010-08-20,00:00,-0.602302,-0.30565,0.702738,-0.40774,1.08177,0.186394
2010-08-30,03:00,0.314874,-1.69243,-1.55168,-0.15268,0.832148,-0.710176
2010-08-31,06:00,-0.340136,-1.81359,-0.527695,-0.56523,0.846487,-0.878023
2010-09-01,00:00,-0.244366,-1.78397,-1.26847,-0.734383,2.66291,-1.06243
2010-09-04,09:00,-0.605916,-0.0196478,-1.22193,-1.73361,1.45437,-0.265485
2010-09-05,09:00,0.322275,-1.35277,-1.0749,-3.08481,1.42821,-0.0229834
2010-09-11,18:00,-1.15911,0.0989614,-1.74074,-0.890265,1.34849,-1.4932
2010-09-12,21:00,-2.44184,-1.58385,-0.605355,-0.0862417,0.599793,-0.557368
2010-09-22,18:00,0.590154,1.71806,-2.2848,-1.19284,-0.114143,0.780264
2010-10-02,06:00,0.365402,-0.800062,1.61055,-1.92922,0.536112,-0.300584
2010-10-04,00:00,0.852341,-3.58808,-1.46273,-1.51583,0.841549,0.51022
2010-10-14,21:00,-0.616347,-0.890291,-3.64535,-0.960975,0.69311,-0.436749
2010-11-01,00:00,-1.49891,2.18256,-2.2973,-2.18021,0.460258,0.0328649
2010-11-01,18:00,-1.04197,2.66986,-0.465699,-0.984615,-1.15788,1.42445
2010-11-07,03:00,-2.14621,-0.127211,0.746235,-2.6416,1.68983,0.402547
2010-11-10,03:00,-1.41228,-0.219442,2.16514,-0.518462,-0.264083,2.53777
2010-11-19,18:00,-0.240901,-0.336139,-2.67569,-5.77568,0.77251,-0.771908
2010-12-02,18:00,-0.927255,2.01252,-1.18178,0.373939,2.29903,1.3374
2010-12-03,18:00,0.710662,1.85328,-0.466472,-1.94111,0.898034,0.735296
2010-12-05,09:00,0.26031,1.00135,3.54646,-3.19257,0.154237,2.39561
2010-12-09,21:00,-0.213313,0.761566,-2.37793,-3.72015,-2.46869,-0.861105
2010-12-11,12:00,-0.108067,-0.11483,-3.40568,-2.88664,-1.02051,-0.735654
2010-12-22,21:00,2.46631,-1.22722,1.31301,-2.53639,1.71038,-1.9982
2011-01-05,09:00,-0.278654,0.841844,-2.71481,0.957869,1.62411,0.907063
2011-01-24,03:00,1.01252,0.931189,-1.5782,-2.61917,-0.251679,2.08968
2011-01-30,15:00,-0.496136,1.61436,-5.37182,-3.95307,1.28598,2.73006
2011-02-03,15:00,-0.167816,-0.436405,-1.38091,-1.64683,-0.0248931,1.01381
2011-02-13,21:00,-1.82478,-0.514355,-0.0423274,0.198916,0.338432,-1.6338
2011-02-17,15:00,-0.658277,0.476335,-1.96474,0.814401,1.60623,-1.46584
2011-02-24,12:00,-2.48901,1.43397,1.34701,-1.14115,1.29571,1.73382
2011-02-27,15:00,-1.51365,0.984547,-2.15225,-1.26627,1.25216,1.35638
2011-03-15,06:00,-0.720086,-0.814058,2.90408,-2.21311,-0.948037,-1.54303
2011-03-16,06:00,0.430479,-2.777,1.83863,-2.41363,-1.291,-0.00747687
2011-03-17,06:00,-0.394318,0.0644733,2.77427,-3.7342,-0.717653,1.64468
2011-03-26,18:00,-1.07429,1.19762,1.80803,-2.2224,0.297153,-0.402776
2011-03-27,18:00,-2.15017,0.50518,2.11765,-0.452694,1.22244,-1.09006
2011-04-25,18:00,0.137495,1.01416,-0.638476,-0.899598,1.67285,1.05094
2011-04-27,03:00,-1.64096,1.89311,0.715371,-3.3484,0.634005,0.565532
2011-04-28,06:00,-0.533485,0.437702,-0.109269,-4.78552,1.39653,0.541808
2011-05-09,15:00,-0.778784,2.01191,-1.1288,-2.35139,2.00809,0.0103732
2011-05-13,00:00,0.0601348,1.25825,-3.23339,-4.31443,0.1748,-2.57571
2011-05-14,09:00,-0.544428,-0.0354109,-1.17072,-3.68046,-0.730324,0.401884
2011-05-20,00:00,1.25397,0.798515,-0.143349,-1.99877,-0.450336,1.29785
2011-05-21,00:00,-1.09009,0.771961,0.687561,-5.54418,-0.553112,0.674046
2011-05-22,21:00,-0.390818,-0.0420198,-0.664192,-3.24906,0.302962,0.247063
2011-05-25,15:00,-0.263484,1.88757,-0.96213,-5.67119,-0.598374,-0.268513
2011-06-04,09:00,-0.526092,-0.00858691,-1.9169,-2.71044,0.909712,-1.16641
2011-06-18,18:00,0.0315365,1.44693,-1.97066,-0.495119,0.718389,-0.16678
2011-06-28,18:00,1.30338,-0.944113,-3.08854,-3.74847,-0.248856,-0.871805
2011-07-16,21:00,-0.0594722,-1.98436,-0.148241,-1.29528,0.239119,1.08494
2011-07-27,18:00,-2.5884,1.75653,-2.11311,-3.91061,1.32625,-0.520184
2011-07-28,18:00,-0.645424,1.26441,-1.61946,-2.2828,1.34123,0.176444
2011-08-03,06:00,-0.112096,0.122513,-0.625073,-1.9871,0.33979,0.867292
2011-08-19,09:00,-0.252235,0.875951,-1.3335,-2.97972,2.47281,-0.781737
2011-08-20,09:00,-2.64389,-0.141785,-0.0984533,-2.28113,4.08738,-0.559979
2011-08-21,12:00,-2.15866,1.36128,-0.334767,-1.26418,1.12987,-1.78382
2011-08-31,15:00,0.132423,0.85524,-1.07561,-3.11038,0.457138,-1.41801
2011-09-01,00:00,-0.290726,1.11645,-0.585704,-2.55163,1.67611,-1.21277
2011-09-09,00:00,-1.28563,-0.835018,1.86097,-2.91431,1.29048,-0.895222
