Filter SHA results: L, M: 04, 03
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,1.46348,-3.91859,-1.76437,-8.37697,4.39687,-3.22638
2010-01-07,06:00,-0.802315,-7.15097,-1.89215,-6.65836,5.80119,-7.49004
2010-01-08,21:00,-0.0354856,-6.7764,-2.40565,-7.17096,7.73101,-5.1799
2010-02-09,03:00,3.25021,-4.16016,-0.207496,-3.50565,1.6294,-1.1431
2010-02-20,18:00,-2.72714,-6.95994,-0.397945,-8.39094,7.3922,-9.16424
2010-02-27,03:00,-1.43082,-7.44991,-3.56194,-8.06782,5.10328,-6.40291
2010-02-28,09:00,0.500626,-7.83462,-3.23057,-5.78498,6.05431,-2.98057
2010-03-09,09:00,-1.05966,-5.97614,-0.101007,-4.35076,4.01147,-4.63008
2010-03-18,18:00,-3.65081,-8.51776,-0.537416,-8.83949,3.69805,-5.82103
2010-03-22,03:00,-3.19003,-8.81578,-1.75277,-5.20286,6.09092,-4.79191
2010-03-24,00:00,-1.22166,-7.3611,-0.686308,-8.03585,2.48889,-7.66716
2010-03-27,15:00,-2.66855,-5.14773,-5.4298,-8.37131,3.41239,-6.96447
2010-04-18,18:00,-1.34246,-7.36698,-1.08134,-6.11752,8.09612,-6.75278
2010-04-25,21:00,0.198691,-6.37846,-0.915839,-4.07881,5.30466,-4.98734
2010-04-27,18:00,-2.42664,-6.10299,-1.92926,-5.19111,6.7824,-4.7879
2010-05-14,03:00,-1.99583,-4.87244,-2.96146,-4.40007,4.97988,-6.20752
2010-05-16,03:00,-2.56225,-4.12744,-4.59112,-7.76397,2.88157,-6.94243
2010-05-23,00:00,-4.90152,-4.78222,0.850665,-8.70923,3.68104,-6.59473
2010-05-24,09:00,-4.27926,-3.02537,-1.8282,-7.37921,4.6909,-6.37689
2010-05-27,15:00,0.958428,-5.60895,-4.53987,-4.75267,5.93891,-5.02083
2010-06-12,18:00,-1.40675,-6.17845,-3.02197,-7.01855,7.22942,-7.41997
2010-06-20,09:00,-3.03899,-6.15262,-2.9099,-6.18571,3.53962,-9.66135
2010-06-21,21:00,-2.67518,-6.33372,-4.52681,-5.40202,5.09803,-9.10644
2010-07-07,00:00,-1.83191,-8.20307,-3.05281,-5.13426,5.30453,-2.57106
2010-07-11,00:00,-2.24684,-5.51272,-1.03597,-3.50448,6.23401,-4.89006
2010-07-17,03:00,-1.58788,-5.31327,-4.84511,-4.53837,4.67534,-9.49664
2010-07-18,03:00,-2.10761,-4.33289,-4.86436,-6.27547,7.4938,-6.28775
2010-07-19,03:00,-3.20062,-6.5004,-3.7303,-5.6913,4.29975,-5.35663
2010-08-20,00:00,-3.59812,-5.03567,-3.726,-5.48412,5.82876,-9.53074
2010-08-30,03:00,-2.63428,-7.01046,-4.03671,-8.13702,6.51473,-6.26707
2010-08-31,06:00,-2.24947,-7.55059,-2.39762,-4.44048,8.44922,-7.30538
2010-09-01,00:00,-4.34982,-6.73976,-2.11335,-4.89879,8.66773,-7.60405
2010-09-04,09:00,-5.96657,-7.4455,-0.668855,-5.24637,6.69124,-7.34451
2010-09-05,09:00,-6.07953,-5.93469,-4.01448,-3.32744,3.65054,-12.562
2010-09-11,18:00,-3.65307,-7.50438,-5.50286,-6.35673,7.31779,-8.5449
