Filter SHA results: L, M: 07, 06
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,-3.05061,-1.18224,-1.76626,-2.31507,-1.18029,-3.9148
2010-01-07,06:00,-3.57891,-1.7026,-0.319518,-1.40117,-2.50774,-2.45921
2010-01-08,21:00,-2.92567,-2.77391,-1.28651,-1.45173,-1.93406,-3.13822
2010-02-09,03:00,-2.52219,-1.62185,0.142134,-0.232305,-0.508562,-0.0220284
2010-02-20,18:00,-2.42528,-0.83666,0.868557,-0.739377,-1.91242,-5.31734
2010-02-27,03:00,-2.34048,-2.85244,1.22503,-1.47107,1.44314,-2.19058
2010-02-28,09:00,-3.95189,-2.57621,0.428923,-1.065,0.441195,-1.28874
2010-03-09,09:00,-2.59616,-2.82303,0.962417,-0.839797,-0.145646,-3.50612
2010-03-18,18:00,-6.49618,-0.913149,-0.842591,-2.94838,3.65563,-6.84349
2010-03-22,03:00,-3.21132,-0.529367,0.860311,-2.36343,-4.22865,-4.63597
2010-03-24,00:00,-4.36873,-4.46102,-5.53682,-4.34677,-2.06701,0.299985
2010-03-27,15:00,-3.63132,-1.24556,-0.75938,-1.62586,-5.11907,-5.4621
2010-04-18,18:00,-2.82159,-1.50749,-0.382373,-0.870114,1.03297,-0.673226
2010-04-25,21:00,-2.61586,-2.32152,-0.856378,-1.2497,-1.27699,-3.10595
2010-04-27,18:00,-3.66534,-2.50331,-2.16569,-1.45806,-0.591452,-2.13457
2010-05-14,03:00,-3.36095,-1.07686,-1.56566,-1.91318,-1.30916,-1.61504
2010-05-16,03:00,-3.05839,-2.15432,-2.09382,-2.29825,-1.15824,-4.54901
2010-05-23,00:00,-4.68335,-3.54,0.197044,-0.652066,-0.782392,0.02721
2010-05-24,09:00,-0.208035,-0.646382,0.280413,-2.39483,0.184526,2.14501
2010-05-27,15:00,-1.70185,-1.8842,-2.30234,-4.32622,0.0942568,-4.89444
2010-06-12,18:00,-2.55033,-0.866082,-1.98211,-1.52222,-3.20398,-0.298145
2010-06-20,09:00,-2.47571,-0.957411,-0.357184,-2.92116,2.00217,0.466851
2010-06-21,21:00,-2.16031,-1.98083,-2.63158,-2.68001,0.451413,-3.93771
2010-07-07,00:00,-1.70908,-1.22943,0.193099,-1.47352,-1.90667,-1.18972
2010-07-11,00:00,-2.64179,-2.96161,1.10481,-1.14772,-1.81077,-1.58835
2010-07-17,03:00,-2.39135,-1.68578,-0.841787,-1.9475,3.07947,-1.85255
2010-07-18,03:00,-2.38602,-2.83292,-0.257844,-3.30111,-1.8409,-2.97938
2010-07-19,03:00,-4.21858,-2.16898,-0.296801,-2.70147,-0.221899,-2.76247
2010-08-20,00:00,-2.82453,-1.65545,0.408363,-0.743902,-1.98543,-0.476834
2010-08-30,03:00,-3.75976,-1.72422,-1.39488,-1.97908,-4.74696,0.944174
2010-08-31,06:00,-4.63299,-0.208594,-0.897067,-3.54016,-2.4916,0.475905
2010-09-01,00:00,-5.37153,-1.1118,-1.45237,-3.29714,0.293811,1.02935
2010-09-04,09:00,-4.52853,-2.61885,-0.357189,-2.47816,-1.09226,-1.99401
2010-09-05,09:00,-3.84023,-2.20543,-0.710505,-2.25923,0.580713,-2.47587
2010-09-11,18:00,-3.39092,-1.42043,-0.668787,-2.53825,-0.945997,-2.33881
2010-09-12,21:00,-2.0195,-0.599884,-1.54361,-3.01885,-1.31581,1.26746
2010-09-22,18:00,-3.2282,-1.95314,-0.562192,-2.50024,-1.11098,-3.90523
2010-10-02,06:00,-2.8724,-3.39105,0.016714,-2.30221,0.902979,1.32517
2010-10-04,00:00,-3.55125,-1.44339,0.293846,-2.55946,0.47358,-1.22476
2010-10-14,21:00,-3.24017,-1.15873,-0.419159,-1.20357,0.993313,-0.742967
2010-11-01,00:00,-3.12536,-1.49788,-0.110923,-2.71319,-1.36954,-2.26771
2010-11-01,18:00,-3.2714,-1.31838,-0.292915,-2.44112,0.0341463,-2.71153
2010-11-07,03:00,-3.56538,-1.48584,-0.593789,-1.08852,-2.16547,-0.879571
2010-11-10,03:00,-4.92265,-1.16205,0.301095,-4.32468,-1.84593,-3.29519
2010-11-19,18:00,-3.32262,1.324,-1.99879,-2.6984,-3.07541,-1.72027
2010-12-02,18:00,-4.41996,-0.555091,0.0275083,-2.49559,-2.23202,-4.70572
2010-12-03,18:00,-4.1583,-1.16624,-0.828479,-2.30426,0.995633,-4.69896
2010-12-05,09:00,-4.03613,-1.2666,-1.082,-2.39658,0.350339,-0.430055
2010-12-09,21:00,-1.39387,-3.97054,-0.843759,-5.90015,-1.04311,0.811459
2010-12-11,12:00,-4.02111,-5.74071,-0.560741,-6.10506,0.18741,1.3926
2010-12-22,21:00,-3.79098,-0.779507,-1.40226,-2.64995,-1.0023,-2.7323
2011-01-05,09:00,-4.29822,-1.62897,-0.10343,-3.0036,-1.44234,0.39247
2011-01-24,03:00,-3.26874,-2.35498,-2.32502,-3.63317,0.0313677,-2.54227
2011-01-30,15:00,-4.46477,-1.25102,-0.313228,-2.90969,-0.145896,0.126692
2011-02-03,15:00,-3.63958,-1.67085,-0.715593,-1.82477,-3.55052,-5.50435
2011-02-13,21:00,-3.9749,-2.82111,-0.203387,-3.17008,-0.783503,2.12397
2011-02-17,15:00,-3.0716,-2.78867,-1.46008,-3.46849,-0.476583,-0.394151
