Filter SHA results: L, M: 07, 02
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,-3.68958,-0.604365,-4.26406,3.76258,4.42588,-1.40548
2010-01-07,06:00,-1.70061,-0.419761,3.30543,-5.08842,1.88969,-2.42376
2010-01-08,21:00,-2.0367,-1.31139,1.56592,-3.93739,0.578442,-1.82104
2010-02-09,03:00,2.0827,0.564596,-1.9584,0.181997,2.40807,-2.2273
2010-02-20,18:00,-4.81394,1.01437,3.3558,-6.95016,1.87562,-1.57039
2010-02-27,03:00,-4.08558,-2.60247,-4.39066,-2.03351,3.43718,-0.249735
2010-02-28,09:00,-2.04924,-1.70724,-6.72786,1.0461,3.16939,-0.397727
2010-03-09,09:00,-0.128282,-0.917525,-1.45895,-3.85178,2.22655,-1.74758
2010-03-18,18:00,-3.46196,-1.74713,-4.45981,-5.23661,2.17103,-0.669819
2010-03-22,03:00,-2.64347,-3.15186,1.70987,-2.60858,3.34758,-2.12976
2010-03-24,00:00,-1.37664,-1.92893,2.06193,-2.46331,3.71586,1.13249
2010-03-27,15:00,-5.90585,-2.79835,1.27184,-4.10434,2.55581,-0.865937
2010-04-18,18:00,-2.20064,-1.03339,-5.08022,-0.391517,0.522569,-1.14005
2010-04-25,21:00,-5.41775,-4.21048,-3.71253,0.579218,1.41746,-0.285323
2010-04-27,18:00,-4.89558,-2.40412,-0.613674,-0.37907,0.973957,0.223548
2010-05-14,03:00,-5.78753,-1.8823,-3.96525,-0.224641,1.67517,-0.630796
2010-05-16,03:00,-5.92719,-3.02881,-3.2457,1.88541,1.21671,-1.24031
2010-05-23,00:00,-5.41062,3.95019,0.123709,-2.32543,-0.418316,-0.619051
2010-05-24,09:00,-5.4853,1.85645,-2.37009,-3.82631,-0.0962576,-0.685266
2010-05-27,15:00,-2.14433,0.0335708,1.81167,-1.15982,1.89877,-1.66725
2010-06-12,18:00,-6.82242,0.0101674,-1.08171,-1.92809,0.74341,0.677726
2010-06-20,09:00,-2.33557,-0.17389,0.634197,3.86138,0.784669,-2.1408
2010-06-21,21:00,-5.28825,-3.26017,-3.58792,1.8153,2.06171,-2.60865
2010-07-07,00:00,-0.989907,-4.31648,2.02392,-0.197577,1.48936,-0.815771
2010-07-11,00:00,-6.97681,-2.86709,0.12758,1.9333,1.27354,-0.998396
2010-07-17,03:00,-5.50321,-1.87246,-3.96653,2.684,2.14846,-2.06004
2010-07-18,03:00,-6.2304,-3.4568,-4.88489,2.60175,3.02457,1.1415
2010-07-19,03:00,-4.4809,-5.3144,-1.28185,-2.80682,1.47362,0.018149
2010-08-20,00:00,-1.07546,-4.54811,-1.3882,-0.664432,2.48093,-1.31363
2010-08-30,03:00,-3.16222,-0.0175933,-3.75213,0.921107,2.17349,-0.823758
2010-08-31,06:00,-4.29686,2.16192,-3.50807,-0.968892,3.65045,1.10336
2010-09-01,00:00,-4.52174,1.97226,-4.23166,-2.56412,3.09216,0.915891
2010-09-04,09:00,-3.07097,-1.98545,1.71039,-0.929324,2.02681,-1.23279
